Ticket Number,Agent,Priority,Subject,Tags,Conversation Summary
5880,101037953612.0,2,FW: Votre renouvellement chez Cintoo,Billing,"Luis Graterol   invoiced   Follow up sales upgraded.  Orion extended to be upgraded to 1,000 scans o"
5878,101021676713.0,2,Regarding the import of point clouds,"Cintoo SDK, Cintoo Cloud","Hi Cintoo team,

Excuse the sequence.
I would also like to try the Streaming SDK, is this not eve | Simon Shaw HEllo, one guy from Unity Japan that wants to use the SDK, but also wants to spread to th | Hello Léo  Are you ok to provide Unity Japan with the latest version of the SDK ?  Joao - unsure if  | Hi Cintoo team,

I have loaded the .fls, which is the FARO raw, but the display does not
seem to  | Steven Tan Leonardo Hidd Fonteles Is there a need to share the SDK with the customer which is just d | John,     Typically I do not believe this is something we typically share on a trial basis. However, | João, Simon, this must go through Dominique since this is not just a customer, this can be a real st | From the original email, I don’t see any request yet for the streaming SDK, except the fact that the | Dominique Pouliquen Leonardo Hidd Fonteles Simon Shaw If you look to the second message from the top | Hi Cintoo team,

The maximum number of scans was exceeded while verifying.
Can you please tell me | Hi Issey,  
     
     
     Thanks for reaching us out :)
     
      
     
     
     Are you usi | Hi Leonardo,

First of all, I am glad to hear from you.
I am a SolutionEngineer in charge of arch | Leo, is there any update on this topic with Unity Japan? | Leonardo Hidd Fonteles I am checking on this issue if there are any updates on this ticket  | @John, I have contacted the product managers by Teams to check who will take the lead on this possib | Victor Ruiz Matthew Stachoni   I wanted to follow up on this to see if there was any action after th | Victor Ruiz Matthew Stachoni Just checking back on the progress of the ticket here  | ARG 2 month old... Just saw it, Let me grab it and move it along. Client has been reached directly v | Victor Ruiz Simon Shaw I am checking to see if the Sales Team has ensured the scan limit for the cli | Just checking in on this ticket to see if you got any updates  | Victor Ruiz Leonardo Hidd Fonteles Hey guys this ticket has been open for 4 months if there are no n"
5877,101053189816.0,2,Question about Faro Orbis,"Cintoo Cloud, e57, Faro Scene","Hi Jeremiah,    Have you checked that the e57 file contains trajectory information? You can do this  | Yes - the file does have a trajectory file.
[image: image.png]

I tried opening the e57 file in N | Nicholas Czarnick Steven Tan João-Carlos Pereira Fialho Anything comments on this  | Hi Jeremiah,    You need to use the Mobille / Generic E57 option.  You need a CSV file to import the"
5874,101021676710.0,2,FW: Access Cintoo,"Cintoo Cloud, Invitation","Leonardo Hidd Fonteles Martial Marchesseau Tatiana Samusina Same request from same customer as previ | Leonardo Hidd Fonteles Tatiana Samusina Martial Marchesseau Olivier Beltrando Trying to confirm if i | Sorry but we do not have a such feature.  To add a member to a project, logged user must have ""manag | I have notified the customer that we do not have the ability to add a user to all projects in the ac | Mini idea -> create a group that has access to all project. Of course for each newly created project | Olivier Beltrando No worries, thanks for the input!"
5873,,2,Issue with iPad Functionality,Cintoo Cloud,"Guillaume Hercod Martial Marchesseau Leonardo Hidd Fonteles If there is any additional infromation n | If I understand correctly, the problem you describe is the following :  - in an Ipad, open any scene | Guillaume Hercod Yes, that is the exact issue reported by the customer and reproduced on my iPad.    | Nicholas Czarnick Cintoo bought iPad and Android tablets for Dev and QA teams, so they will be able  | Martial Marchesseau Thanks for the information! I can communicate back to the customer."
5872,101037953612.0,2,GCM Upgrade,Billing,"Alex Galvan      Hello,     Invoice sent.  Follow-up sales upgraded."
5871,101053189816.0,2,Site Map,"Sitemap, Cintoo Cloud","Hi Warren,    Please check our article which would be helpful https://help.cintoo.com/en/support/sol | Hi John,

That alignment tool helps but it does not offer a scaling option, which is incredibly di | Hi Warren,    thank you for that suggestion I will bring it up to development        John Tapia  Tec | Martial Marchesseau A feature request for the alignment tool  | Idea added [CP-251] Scale a site map using the alignment tool - Cintoo Portfolio - Jira Product Disc"
5868,101037953612.0,2,FW: Oji - Cintoo plan upgrade,,"Simon Shaw      Hi Simon,      here is the proration I came up with     Credit for Annual Plan  Star | OK, let’s run with Caroline’s price then : )

 | Hi Caro

Can you please invoice Revisia for the increase of the Oji Fibre Solutions plan from 2000 | Simon Shaw      Thanks Simon,     Invoice sent & follow-up sales adjusted."
5867,101037953612.0,2,FW: Cintoo Cloud Subscription Renewal/LPO-FETW-24-068 -CINTOO,"Billing, Subscription","Simon Shaw      Thanks Simon,     Invoice sent  Follow-up sales & Orion adjusted"
5866,101053189816.0,2,Reset acount of me,"Cintoo Cloud, Account","Hi Benjamin,    Have you checked your spam folder to see if the email arrived as well as your junk m"
5864,101037953612.0,2,FW: Cintoo payment options,Billing,Simon Shaw      Thanks Simon     Invoice sent  Follow-up & Orion upgraded
5863,101021676705.0,2,Model selection,"Cintoo Cloud, Display Models","Hi Russ,    Can you provide screenshots regarding your issues to better understand? I would like to  | John,

See screenshot below.  When I use the Pick Models tool and click on a component in the mode | Hi Russ,    Yes, I see that I have been testing out from a sample of ours.       John Tapia  Technic | Nicholas Czarnick I see this is happening to me on a model is there a way to pick the model or has t | John Tapia       What file type is the model file?  Is it being imported from Autodesk Construction  | Hi Russ,    Can you provide the following      What file type is the model file?  Is it being import | John,

See answers below in RED




[cid:BCESigBar2_e919768c-db09-4e3d-a77a-53927999ed5611111 | John Tapia i will take over | Hi Russ,    John has looped me in on your inquiry. Can you confirm what type of files are appended i | .dwg files are appended to the Naviworks file.

File has been uploaded.




[cid:BCESigBar2_e | Cyril Deguet Salomon Mayengue Thomas Corvazier  There seems to be a bug with displaying BIM metadata | Hi Russ,    Thanks for sharing the file with me. I was able to reproduce the issue on my end and I'v | Looks like a configuration issue on the new CDN | Nicholas Czarnick I reverted the US region to the old CDN and it seems ok now, it's possible that cu | Thomas Corvazier Thanks! I will let the customer know | Hi Russ,    We were able to identify the probelm and issue a fix. Can you check and confirm that you | Yep, works like it used to!  Thank you for getting this fixed so quickly.




[cid:BCESigBar2_e | Nicholas Czarnick , we have implemented a new fix on the new CDN, and all the client's projects have | Salomon Mayengue Everything is still working as expected with the files I used to troubleshoot the o"
5861,101053189816.0,2,Manage access for users in specific maps is not working right,"Cintoo Cloud, Users and Permissions","Martial Marchesseau This is another feature request as we do have this feature yet available | John; the user explained that the existing feature is not working properly: so it’s a problem (bug). | I cannot reproduce, can you please ask the customer the steps to reproduce with screen captures. | Hi Jasper,    Can you give me the steps that you done to capture this issue       John Tapia  Techni | Hi John,

Of course.
First, I granted the users access to the entire project. Later, it turned ou | Martial Marchesseau the customer has stated the workflow | This is the specification for access workzone feature:  Given a project with 2 workzones and a membe | Hi Jasper,    I want to verify with you that you have access to the work zone where the checkbox is  | Hi John,

It’s better now, but I have a few other questions about this where it make it easier I g | Hi Jasper,    ​Sure when do you have time I am in PST Time and I am available after 915pm please let | Hi John,

I’m in UTC Time (14:32 / 2:32 PM right now). I’m a little bit confused about your availa | Hi Jasper,    I am in Pacific Time so I am available today at 9 am my time in Pacific time which wou"
5859,101021676705.0,2,Request for Information - WhirlpoolIDPForCintooNew,SSO,"Hi Akansha,    1.  Users are reported to be located in the US (as specified in the Cintoo account)   | Please take a look at ticket #5859 raised by Akansha Vatsa (akansha_vatsa_persistent@whirlpool.com)."
5858,101037953612.0,2,Bi-Con Engineering Plan,Billing,"Nice work Alex!


Rob Rasnic
Chief Sales Officer
[cid:image001.jpg@01DA64BA.EB9ADB20]<https://d | Alex Galvan      Thanks Alex,  Follow-up sales adjusted.  Can you send me their address so that I ca | Alex Galvan      Thanks Alex,      Invoice sent"
5857,101037953612.0,2,FW: Request for Special Pricing on Additional 1000 Scans for Tecno Art Account,Billing,"Simon Shaw      invoice for the upgrade till end of May processed  Follow-up sales and Orion adjuste | Simon Shaw      Hello,     Can you revert to me regarding theFY25 invoicing?     Thanks,     Caro | Yes, there was an error in the pricing I sent (it was just for 2500 scans for the year).

I have r | Caroline Noel I am checking to see the progress of the ticket please let me know if this has been co | Hi John,     No news - I'm keeping this ticket open till getting some news from Simon     Cheers,    | Any news regarding this ticket to move it along  | Hi John,     Still no news - I'm checking this point with Simon     Cheers,     Caro | Hi John,   We've got some good news - I'm closing this ticket  Cheers,     Caro"
5856,101021676705.0,2,Cintoo|| Assess the Non-federated systems / applications user access,"security, Cintoo Cloud","Thomas Corvazier Salomon Mayengue I believe this is something that you can answer  | To be clarified, ADM already has SSO, even for external users! | Hi Nidhi,    Your Cintoo account is configured with SSO using OIDC for all the users so that shouldn"
5855,101037953612.0,2,FW: Your receipt from Cintoo US Inc. #2232-7713,,Simon Shaw      Hello subscription closed  Follow-up sales & Orion adjusted
5853,101021676703.0,2,3D view start view,"Cintoo Cloud, 3D View ","Hi Jack,    Recommended way to enter in 3D View:  First, in the Project Explorer, select only one sc | Hi John,

Let me give you an example.
Below is a screenshot of ‘My Projects’
[cid:image018.png@0 | Nicholas Czarnick Want to get your opinion on this   | John Tapia I will take over | Hi Jack,    John has looped me in on your inquiry.      This is a recent platform update that was ma | Leonardo Hidd Fonteles Martial Marchesseau Tatiana Samusina      I'm not sure who is the relavant PO | Thanks Nick for the feedback. The main PO on this is Martial, although Tania has also been involved. | Hi Jack,     Nick looped me in your inquiry.     We have deployed a new action button on the My Proj | Thanks for letting me know Ange,

There must be a reason you still want to keep this function (cli"
5852,101021676703.0,2,Locked Datasets,"Cintoo Cloud, Workzones","Hi Casey,    Let me check on this        John Tapia  Technical Support Manager  www.cintoo.com | Nicholas Czarnick I do not see anything about locked worked zones in the documentation. | I'll respond on this one | Hi Casey,    John looped me in on this support ticket.      It means CJ has been invited to a specif | That fixed it, thanks.

Chief Technology Officer
CASEY O’CONNOR
304-546-0566

"
5851,101037953612.0,2,FW: Fwd: Informazioni su Cintoo,Billing,"Simon Shaw     Hello,     Invoice sent  Follow-up sales & Orion adjusted"
5849,101053189816.0,2,Models keep flickering,"Cintoo Cloud, Display Models","Hi Tarek,    Is this happening to all the projects or just the one you have specified that this is o | Hi John,

Thanks for coming back to me. Only on this project. It happened after I have overwrite t | Another photo below.


[cid:d50ae2d0-641a-4a0b-889f-2c9c24e46043]


Many Thanks,



Tarek  | Hi Tarek,    Can you give me access to the project here is my email john.tapia@cintoo.com as well as | Hi John,

Done.


Many Thanks,



Tarek Taki Eddin

Digital Construction Coordinator

 | Nicholas Czarnick Guillaume Hercod I am seeing the flickering on my system as the customer stated is | John Tapia This issue occurs when there is 3D data in the scene that is extremely far away, which ca | Hi Tarek,    We've pinpointed the cause of the flickering you were experiencing. It seems to be rela | Could you share a quick video so I can determine what kind of flickering this is exactly? There is t | Guillaume Hercod There was a corrupt RVT file in the project that was casuing the issue. Customer ha | Hi John,

Many thanks for your support and good explanation. The issue is now solved. I have delet | Hi Tarek,    One of my colleagues took a close look at your project, and their findings shed light o | Hi John,

Sure. Thanks for this.

On another matter, is there place within Cintoo that gives me  | Hi Tarek,    Cintoo Cloud lets you easily track how your team members are using the platform. Here's | Great. Thanks for this John. I will have a look on Monday and let you know.

Many thanks,
Tarek
"
5848,101021676705.0,2,RE: <EXT> RE: Vesuvius Cintoo implementation 1202400124  Cintoo SAS,"Login, Cintoo Cloud, Account","Nicholas Czarnick Steven Tan João-Carlos Pereira Fialho Seems like the client is having login issues | Thomas, please can you have a look at this issue with Vesuvius customer that is just being migrated? | Hi Jean-Luc,    This is indeed an issue I didn't see  I've just disabled SSO for tsg.cintoo.com (onl | Thomas,

Thanks for your support,
Not clear for me what I should try.

Could we have a short te | Thomas,

These are the 3 projects we  are working on for other customers using also Cintoo


He | 
Thomas,

I just try,

Vesuvius login : ok no added password, ok, working

US : tsg. : ok wor | Simon Shaw I had a call with Jean-Luc, I will split their database tomorrow morning 8:30 am CET and  | Hi Jean-Luc,    I've just split the database now so you should be able to login on https://aec.cinto | Thomas,

All working fine,

Thanks

Jean-Luc

"
5846,,2,Cintoo: Petter has invited you to Malmoe project,,This ticket is closed and merged into ticket 5838
5845,,2,Cintoo: Petter invited you to join the team,,This ticket is closed and merged into ticket 5838
5844,101053189816.0,2,FW: Help with VR connection,Cintoo VR,"Hi Artemis,    I see you are having issues with VR can you explain the issue to help you better? I w"
5843,,2,FW: upgrade scan,,Simon Shaw      Invoice sent  Follow-up sales & Orion adjusted
5842,101037953612.0,2,FW: Order:  P-202409625,,"Thomas Corvazier      Hi Thomas,     Can you assist us with this Freshdesk request ?  I have created | Congrats Petra ! Great move with Strabag!

Dominique Pouliquen
CEO
[cid:image003.jpg@01DA6406.51 | Petra Doucet      Thanks Pétra  that's great  Invoice sent  Follow-up sales & Orion adjusted"
5841,101053189816.0,2,E57 Import,"Cintoo Cloud, e57","Hi Javier,    Die Fehlermeldung ""Current scene is extremely large"" kann während des Imports einer E5 | João-Carlos Pereira Fialho, maybe you should have a look at this one, if he's a prospect in Europe. "
5840,101037953612.0,2,PO037237,"Billing, Purchase Order","Hi Sandy,    Following your email, I can confirm that this order has been processed from our side.  "
5839,101053189816.0,2,RE: Cintoo information,"Cintoo Cloud, Account","Hi Scott,    ​I am want to first verify the issue with logging into Cintoo. Have you cleared the cac | Hi John,

The issue was across multiple browsers, and clearing the cache did not fix the problem. | Hi Scott,    So the issue is no longer present?        John Tapia  Technical Support Manager  www.ci | Hi John,
That’s correct. Issue is no longer present.

Scott.

Scott Humber
Senior Manager - Di"
5838,101021676703.0,2,Failing to upload pointcloudsa,"Cintoo Connect, Trimble","Hi Petter,    Please check the following documentation on Trimble let me know if this works      htt | Hi John!
I checked the guide, it´s a good description for exporting the data from Trimble RealWorks | Hi again!
I have added you to the project that is failing, if you want to take a peek.
Thanks!

 | Tickets with IDs 5845 is merged into this ticket. | Merged from ticket 5845  
      Subject: Cintoo: Petter invited you to join the team  
      Descrip | Tickets with IDs 5846 is merged into this ticket. | Merged from ticket 5846  
      Subject: Cintoo: Petter has invited you to Malmoe project  
      De | Nicholas Czarnick Do you have any clues on this one | John Tapia I will take over this one. Most likely something to do with the export process from Trimb | Hi Petter,    John has looped me in on your inquiry. Please invite me (czarnick@cintoo.com) to the M | Xavier Lamorlette Omar Zerhouni What does this [ERROR] in Cintoo Connect mean? | Xavier Lamorlette I think it might be a regression as the task from webApp went through before 3.10. | Omar Zerhouni I've requested the original E57 file from the customer, waiting on their response | This is a known regression introduced recently. It should be solved in the next version of Connect t | Hi Nicholas, nice to hear from you!
I have uploaded the .E57 file, and added you to the project.
 | Hi Petter,    Thanks for sharing the E57 file and inviting me to the project.     Using the source k | Omar Zerhouni Xavier Lamorlette Customer file here for investigation: Trimtec Cintoo Support      Op | Hi Nicholas Czarnick,  I also reproduced the bug. I am gonna create a ticket. But there is something | Hi again!
A quick thought: does it matter whether the data I Groud-scaled or Plane-scaled? This dat | I'm currently investigating this.  I can reproduce the problem.  My first guess is that we correctly | Xavier Lamorlette Thanks, I will let the customer know we are still investigating this.     I dont h | Omar Zerhouni Sorry I'm not familliar with ""TLS/GBL"" or ""Octree"" parameters in CloudCompare. These a | Hi Petter,    Thanks for providing the additional E57 file. I'm not very familiar with TBC software, | kabingx7_29_1 scan from kabingx7_29.e57 file:  The point cloud can't be transformed in a mesh becaus | kabingx7_5_1 scan from kabingx7_5.e57 file:    The 3D data imported to Cintoo is correct.  The 2D pa | @Anis, it looks like a problem with the delta azimuth, what do you think? | There are 2 main problems. The first one is the decimation. We can deal with decimation up to a rati | Anis Meftah I don't think the duplicated and shifted parts in the panoramic image of kabingx7_5_1 co | My bad not azimuth bound, I meant spherical bounds. The shifted parts are coming from the remapping  | Xavier Lamorlette Anis Meftah Thanks for the information, this is helpful to understand the issue. I"
5837,101037953612.0,2,RE: Request of formal quotation of cintoo subscription renewal,Billing,"Simon Shaw      Hello Simon,      following our discussion, can you confirm to the customer that the"
5836,101053189816.0,2,Passwort,"Reset password, Cintoo Cloud","Hi Emil,    If you have the assigned password and you tried to log in it is not letting you. Can you"
5831,101053189816.0,2,Issue with Cintoo Trial,"Cintoo Cloud, Account","Hi Odair.,  
   
   
   Você verificou sua pasta de spam ou lixo eletrônico para o e-mail de redefin | Sim, não recebi retorno. 
 
 
  | John, no tutorial que recebi, como entrar nesta seção do Cintoo. esta tela não aparece. Preciso inst | Thomas Corvazier Salomon Mayengue The user has a trial account and he is having issues logging into  | Nicholas Czarnick He created a trial account and he is not able to login this would be the SRE Team  | John Tapia He needs to use https://us.cintoo.cloud/login to access his trial account     Or he can u | Hi Odair.,    Por favor, tente acessar sua conta de teste em  https://us.cintoo.cloud/login  Se nece"
5830,101037953612.0,2,FW: Invoices Techscape,Billing,"Hi Jurgen,    Please find attached your invoice.     Warm Regards,     Caroline     Caroline NOEL  R"
5829,101037953612.0,2,FW: Cintoo Renewal 2-25-24,Billing,"Hi Michael,    Invoice ready to be billed.  For your information, this subscription's end date got c | Thanks Caroline.

Michael DeJesus
Strategic Account Manager – Energy
[cid:image001.jpg@01DA6311. | Hi Michael,    Invoice sent  Thanks,     Caro"
5827,101053189816.0,2,Auto-Onboarding Multi-user / Project Lister Viewer,"Cintoo Cloud, User Provisioning","Tatiana Samusina Martial Marchesseau Hello, is there a screenshot or a short video of what a user in | Hi João-Carlos Pereira Fialho   Please find below some informations about ""Project lister"" implement | Hi Viola,    Just to keep you updated the team is working on this issue and as soon as we hear from  | John, please reply back to the customer with the information given in Martial’s last comment. That’s | Hi Viola,    Regarding your query about the ""Project Lister Viewer"" functionality, please find the r | Hi John,

many thanks for the details on that issue.

Best regards,
Viola

"
5824,101037953612.0,2,RE: PO037237,Billing,"Hi Komal,    Following your email, I'm confirming that the yearly subscription for 500 scans for Mic"
5823,101037953612.0,2,"New customer order - Charles University 500 scans CSD, BCM",Billing,"Petra Doucet      Hello Petra,     Invoice sent  Follow-up sales & Orion updated"
5821,,2,Re: VLX G1 SiteMaker,,This ticket is closed and merged into ticket 5788
5819,101037953612.0,2,"FW: BKF Engineers - Renewal 3,500 + BCM",Billing,"Jason DiSalvo      Hello,     Invoice sent  Follow-up sales & Orion adjusted | Hello,     The customer has renewed its custom branding"
5815,101037953612.0,2,New Deal Wade Trim 500 _ BCM,Billing,"Jason DiSalvo      HI Jason,     Invoice sent  Follow-up sales & Orion adjusted"
5813,101037953612.0,2,FW: Cintoo Plan Renewal,,Simon Shaw      Hello  Invoice sent  Follow-up sales & Orion adjusted
5812,,2,FW: Cintoo: Your payment for a Cintoo CSD subscription was successful,,"Hi Daniel,     This comes from QA tests, to be ignored       Cyril DEGUET   Chief Architect / CISO  "
5811,,1,Cintoo: Your payment for a Cintoo CSD subscription was successful,Invalid,Invalid ticket due to QA tests
5810,101053189816.0,2,"automatically determining floor and wall areas, volume of spaces (measurements)",Cintoo Cloud,"Martial Marchesseau Tatiana Samusina Feature request  | Anis Meftah, it seems the Research team is working on this feature, right?  Martial Marchesseau, it  | Idea added [CP-188] Automatically determining floor and wall areas, volume of spaces (measurements)  | John, please can you reply to the customer before closing?  | Hi Jasper,  
   
   
   We have created a feature request for you. As we do not have an ETA when thi"
5808,,2,,,This ticket is closed and merged into ticket 5763
5807,101026576803.0,2,RE: Cintoo: Your unified mesh Prolifics Test 001 in East Azeri project could not be generated,"Cintoo Cloud, Export Crops","Hi Justin,    You need to follow this workaround to avoid this limitation  https://help.cintoo.com/e | Hi Joao-Carlos,

I have tried this work around and am still getting errors.  Please note that the  | Wanted to get an update on this ticket  | Omar Zerhouni Seems like the client is having issues exporting the unified mesh from Cintoo. This is | John Tapia If I am not mistaken, the client is unchecking the scans in the resource explorer panel,  | @Martial, @Omar, to check if the crop saves the visibility of the scans (it used to do) and if the u | Hi Justin,    Based on my understanding, it appears that you are unchecking the scans in the Resourc | I confirm a crop is saved with the list of checked workzones and visibles files (not only scans).  B | Moving the test forward, I notice that when a crop is reloaded the files visibility is not restored. | [AEC-5947] Restore a crop with hidden scans - Jira (atlassian.net)  | @John, as Martial said, hiding the scans should work. Can you ask the customer the project name and  | Or just the crop name, since the project name is given on the email exchanges with Simon | Leonardo Hidd Fonteles Martial Marchesseau ,     There is one thing I find intriguing: user has rece | Hi Justin,    Can you provide the name of the project and crop name as this will help us reproduce t | @Omar, the front end (the viewer) do a quick check based on the gops loaded at the time the user cli"
5806,101026576803.0,2,,"Cintoo Connect, Import Scan","Bonjour Christelle,     Je vois que tu utilises une vielle version de Cintoo Connect (2.3.0), il fau"
5805,101021676710.0,2,Custom branding for vesuvius.cintoo.cloud,"Cintoo Cloud, Custom Branding, AEC-5669","Simon Shaw, it's related to this order #5675, which has been sent to DevOps (ex-SRE) team via Jira S | Cyril Deguet, How could Simon have created this Jira ticket AEC-5723? (mentioned in the History)  | Martial Marchesseau is organizing all this. Adding him here for the follow up. | Ange Abou simple: Simon created a (duplicate) Servicedesk ticket, which was converted to a Jira AEC  | Cyril Deguet ah ok. Thanks for the info. Looking forward to have the new process that we discussed i | Vesuvius and Tetra Tech branding have a high priority in the current sprint. Once Teleport complete  | Jira issue status changed to In Progress -(Automation for Jira) added this comment | Jira issue status changed to Code Review -(Automation for Jira) added this comment | Jira issue status changed to QA Validation -(Laurent Llorca) added this comment | Jira issue status changed to To be Integrated -(Claire Onidi) added this comment | Jira issue status changed to In Dev -(Automation for Jira) added this comment | Jira issue status changed to In Progress -(Martial Marchesseau) added this comment | Jira issue status changed to Closed -(Jérôme Allasia) added this comment | Jira issue status changed to Open -(Martial Marchesseau) added this comment | Jira issue status changed to Write Spec -(Martial Marchesseau) added this comment | Jira issue status changed to QA Spec -(Martial Marchesseau) added this comment | Jira issue status changed to Write Spec -(Martial Marchesseau) added this comment | Jira issue status changed to QA Spec -(Martial Marchesseau) added this comment | Jira issue status changed to Dev Review -(Martial Marchesseau) added this comment | Jira issue status changed to Code Review -(Martial Marchesseau) added this comment | Jira issue status changed to In Progress -(Martial Marchesseau) added this comment | Jira issue status changed to Code Review -(Automation for Jira) added this comment | Jira issue status changed to QA Validation -(Jérôme Allasia) added this comment | Jira issue status changed to In Progress -(Claire Onidi) added this comment | Jira issue status changed to Code Review -(Timothy Barker) added this comment | Jira issue status changed to QA Validation -(Jérôme Allasia) added this comment | Jira issue status changed to To be Integrated -(Claire Onidi) added this comment | Jira issue status changed to In Dev -(Automation for Jira) added this comment | Jira issue status changed to Validated -(Claire Onidi) added this comment | Jira issue status changed to Closed -(Cintoo Bot) added this comment"
5804,101037953612.0,2,"FW: new plan ""Pargas Stad - JH""",,"Petra Doucet Thomas Corvazier      Hello,      I've created the ticket SRE-1901 on Jira asking for t | Caroline Noel ok done ! | Thanks Thomas | Petra Doucet      Thanks Pétra,     Invoice set  follow-up sales & Orion adjusted "
5802,101053189816.0,2,Tony Jones Access to Cintoo,"Cintoo Cloud, Access","Hi,

I now have access.

Thank you.

Tony



"
5800,101026576803.0,1,TR: EQUANS Digital: Your model GRE_BAT40_4007_EXE_ARC_000_2021.rvt in CEA 4007 project could not be imported,"Cintoo Cloud, Import CAD Models","Omar Zerhouni I got this error message while importing this Revit file through ACC Here is the file  | Hi João-Carlos Pereira Fialho,     Ok, I am on it.     Can you tell me when did you initiate the imp | João-Carlos Pereira Fialho      Keeping you posted on what I find:  The file is a central modal, mea | Hi Omar,  i gave you access to our CIntoo ACC account,and to the document in project BIM360  here is | Omar Zerhouni After importing this morning, it uploaded fine. so closing the tikcet. Looks like a ye"
5799,,1,RE: [EXTERNAL] Cintoo site admins for Rivian,,This ticket is closed and merged into ticket 5516
5796,101026576803.0,2,Erreur de chargement de nuages de points malgré message de succès,"Cintoo Connect, Import Structured Scans","João-Carlos Pereira Fialho We leave this to you to handle | Bonsoir Sylvain,     je vois que tu utilises un ancienne version de Cintoo Connect (2.1.1)  Peux tu  | Bonjour Joao,
Ok merci pour le regard, j'essaierai avec la dernière version !
Bonne fin de journée | John Tapia the Article for Cintoo Connect Installation has an old image with old icon,  https://help | João-Carlos Pereira Fialho I have changed the image you have an update on this ticket | Hi Feugas,  ​   J'espère que ce message vous trouve bien. Je reviens vers vous concernant le problèm | Bonjour John,
Malheureusement le souci n’est pas résolu mais je présume qu’il s’agit d’un problème  | The customer states the issue has not been resolved because the scans are very large one-by-one work | Hi Feugas,    Merci pour votre retour et les informations supplémentaires. Effectivement, il semble  | Omar Zerhouni Xavier Lamorlette   The customer is reporting an issue where scans uploaded via Cintoo"
5793,101021676703.0,2,Issue with BIMTrack Integration,"BIMTrack, Cintoo Cloud","Nicholas Czarnick Steven Tan I do not have a BIM account but this seems to be something wrong with t | John Tapia I will take this one | Hi Mohsen,     The BIMTrack/Newforma Connect token needs to be re-added in the Cintoo Administration | Hello,

I am on leave at the moment, returning Monday, March 4th.

Please reach out to the follo | Hi Nicholas,

Thanks for the swift reply! We will try this out once Tim Barnes is back as he is aw | Hi Mohsen,    Mark Cichy is the main Cintoo account owner and should be able to confirm if there are"
5790,101037953612.0,2,Account Deletion and Transfer billing information,"Billing, Subscription cancellation","Hi Jorge

Here are instructions to transfer the administrator rights of the Tantek Cintoo account  | Hi Simon,

Thank you for your help,
I have changed administrator role to Rodney.


Kind Regard | Just wanted to know if there is anything else that needs to be done on your side  | Simon Shaw   Hello Simon,     Is there anything I should do here ?     Thanks,     Caro | This ticket can be closed.

"
5789,101053189816.0,2,Re: how to convert xyz values to longitude and latitude values,"Coordinates System, Cintoo Cloud","John Tapia So, in fact user is importing an E57 (with X,Y,Z coordinates based on one Coordinate syst | Hi Sumith,    I understand you are working with an E57 file, which includes X, Y, Z coordinates base | Hi John,

Thank you for your prompt response and the valuable insights regarding the  x,y,z values | João-Carlos Pereira Fialho Hey Joao wondering if you can jump on this one  | John Tapia no, you can ask Dominique or Rob who has the original E57 from Oakland train station and  | Nicholas Czarnick Regarding the users last message I am hoping you can clarify this  | John Tapia I don't know what Coordinates Reference System was used on the Oakland Train Station proj | Hi Sumith,    Can you confirm the Coordinate Reference System used in your data to proceed with the "
5788,101053189816.0,2,VLX G1 SiteMaker,"Import Scan, Cintoo Cloud, NavVis VLX","Hi Daniel,    Too better assist you with the issue. If you can please send me some screenshots of th | The issue is with the XML file. The Cintoo uploaded is not supporting the version I have. I’ll get y | Hi Daniel,    If you can give me a screenshot and if you can share the file this would be helpful    | see attched

[image: image.png]

 | Hi Daniel,    Let me investigate this further        John Tapia  Technical Support Manager  www.cint | Nicholas Czarnick Leonardo Hidd Fonteles Steven Tan The file he sent has no GPS Location I believe w | Thanks John, the best is to have Anis looking at the XML file to see what's not ok      @Anis, can y | Thanks Leonardo Hidd Fonteles   Can we ask the client for scan files also, to add this case to our t | Omar, we have several VLX point cloud files for test, I'd rather just check what's the issue with th | Hi Daniel,    How was this XML file generated was it using Ivion or the desktop version        John  | Leonardo Hidd Fonteles yes, but wouldnt you want to test the next version with this specific file ?  | Desktop and it’s called SiteMaker. Daniel Loney - Principal Vancouver: 604.510.1299 Cell: 604.340.91 | Omar, for the test the XML file should suffice, to check with Xavier. But let's see what Anis will f | Hi Daniel, Thanks for the information the engineer team will look into the file if there are any cha | John Tapia The ""sensor_frame.xml"" file provided by the customer is the wrong XML file to use as inpu | Hi Daniel,    I would like to confirm when  processing the data in SiteMaker did you use  ""Mesured C | Leonardo Hidd Fonteles As Nick said, the client is using the wrong XML file. The good one is the XML | Hi Daniel,   ​  From the screenshot, we can see that you are using the wrong XML file. Indeed, the s | Tickets with IDs 5821 is merged into this ticket. | Merged from ticket 5821  
      Subject: Re: VLX G1 SiteMaker  
      Description:  When I run nv_an | Maybe in this case he should contact the NavVis support? Nick, Steve, what do you think? Or do we ha | Leonardo Hidd Fonteles We do not have instructions in our Cintoo knowledge base for how to use SiteM | John, can you let the customer know that we don't have enough knowledge to help him on using SiteMak | Hi Daniel,    After talking with my colleagues based on the application you are using SiteMaker, we  | Do you have a sample XML file? I can run the conversion calculations manually and fake the file in.  | Nicholas Czarnick Do we have an example  | John Tapia sample xml attached | Hi Daniel,    Here you go        John Tapia  Technical Support Manager  www.cintoo.com"
5787,101021676713.0,2,Share link question,,"Hi Jack,    This is occurring because when you are clicking the icon to share the link, you only hav | Hi Jack,    To include multiple work zones in a sharing link, start in the DATA tab, select the root"
